ID,Count of Language,English,French,Italian,German,Spanish,Japanese,Korean,Simplified Chinese,Tranditional Chinese,Czech,Hungarian,Russian,Polish,Brazilian Portuguese,Danish,Finnish,Dutch,Norwegian,Swedish,Romanian,Portuguese,Arabic,Hindi,Indonesian,Thai,Turkish,Vietnamese,Hebrew
1,"123D",,1.0000000000000000e+00,,1.0000000000000000e+00,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,
2,"123D Catch",,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
3,"123D Design",,1.0000000000000000e+00,,1.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,,1.0000000000000000e+00,,,,1.0000000000000000e+00,,2.0000000000000000e+00,,,,,,,,,,,,2.0000000000000000e+00,,
4,"3ds Max",,1.0000000000000000e+00,,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,
5,"A360",,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,,2.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000000e+00,,,,,,,,,,,,2.0000000000000000e+00,,
6,"A360 Core Services",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,1.0000000000000000e+00,,
7,"Alias Speedform",,,,,,1.0000000000000000e+00,,,,,,,,,,,,,,,,,,,,,,
8,"AppStore",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,
9,"AutoCAD",,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,,,,,,,,,,,,,
10,"AutoCAD 360 Mobile",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,
11,"AutoCAD 360 Web",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,,1.0000000000000000e+00,,1.0000000000000000e+00,,,,,,,,,,,,,,
12,"AutoCAD Architecture",,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,,1.0000000000000000e+00,1.0000000000000000e+00,,,,,,,,,,,,,,,
13,"AutoCAD Civil 3D","3",3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,,,,,,,,,,,,,,
